eruptions,waiting
4.433,78
5.1,96
4.417,83
4.333,89
4.85,86
4.417,90
4.8,82
1.75,62
1.867,45
2.1,53
4.083,93
4.933,86
4.033,82
4.283,77
2.317,50
4.883,83
4.35,80
4.7,80
1.8,51
4.7,84
3.567,73
1.867,51
4.1,84
3.833,75
4.117,79
2.417,54
2.233,60
1.6,52
3.967,89
1.967,56
4.8,94
3.5,87
4.333,81
2.1,60
3.6,83
4.833,80
2.383,71
2.217,50
4.767,78
4.05,81
4.617,93
4.633,82
4.533,73
4.283,79
4.417,87
4.15,88
4,86
4.933,88
3.817,80
4.167,81
1.7,59
1.917,45
4.5,84
3.333,74
2.35,47
2.417,50
1.867,50
3.45,78
4.083,84
4.817,77
4.6,81
2.133,67
4.716,90
4.567,78
1.8,53
4.7,83
4,70
4.467,77
